tier,vendor_code,vendor_name,priority_score,part_code,product_name,description,category_name,sub_category_name,location,total_onhand,cost,weighted_cost,total_onhand_cost,price,margin,weighted_margin,date_last_sold,status,start_date,end_date,date_created,vs_notes,active_po,date_ordered,qty_on_order,case_count,purchase_qty,po_cost,weeks_remaining,weeks_remaining_avg,weeks_remaining_min,average_movement_month,average_movement_two_month,average_movement_three_month,average_movement_six_month,average_movement_one_year,average_movement_month_ly,rolling_average,qty sold,average_orders_week,account_sprawl,most_common_qty_sold,most_qty_sold,max_qty_account,min,sum_qty_sold,key_account,is_whole_foods,wf_last_order_date,whole_foods,total_wine,date_last_po,last_po,last_purchase_qty,dealer,shipper,order,total_weighted_score,normalized_score,decision
5.0,199.0,VNDR_CWCPAA,-999.0,10138.0,Prod_50305362,12.0,Spanish Reds,Spanish Reds 750 small,D7,21.0,6.45,6.71,140.91,12.09,0.47,0.4399999999999999,2025-08-01,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2010-11-30,,0,0,0.0,0.0,0.0,0.0,58.33,-999.0,14.58,0.0,1.5,1.0,0.5,1.46,3.0,0.83,15.0,0.12,2.0,3.0,12.0,Acc_95b83f,3.0,15.0,0.0,0.0,0,0,0,03/12/25,47094.0,48.0,Western,Distributors Transport,,0.0,5.02,Keep
5.0,83.0,VNDR_L4URDB,-999.0,10163.0,Prod_83843446,1.0,Beer Imported,Beer Imp. 20 x 16.9oz.,G3.1,26.0,41.61,43.6667,1135.33,71.06,0.41,0.39,2025-08-01,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2008-01-25,,0,0,0.0,0.0,0.0,0.0,52.0,-999.0,26.0,0.0,0.5,0.92,0.46,1.19,2.75,0.47,18.0,0.5,17.0,1.0,2.0,Acc_95b83f,1.0,18.0,5.0,0.0,0,0,0,06/23/25,47690.0,22.0,LAK,Distributors Transport,,0.0,8.56,Keep
6.0,229.0,VNDR_GEE18S,0.0,10178.0,Prod_70505630,12.0,California Whites,California Whites 750 small,C8.2,24.0,23.11,15.0,360.0,31.03,0.26,0.52,2025-06-02,-,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2018-02-15,,0,0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,12.0,0.0,1.0,12.0,12.0,Acc_bbc188,12.0,12.0,0.0,0.0,0,0,0,05/09/25,47391.0,24.0,Tower Road,Advantage,,0.0,7.39,Keep
6.0,123.0,VNDR_VE4YSO,0.0,10206.0,Prod_95382186,12.0,Oregon & Wash.,Oregon & Wash. 750 small,BB1.2,0.0,8.0,8.33,0.0,9.82,0.1899999999999999,0.15,2025-02-20,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2008-01-25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,9.18,Keep
6.0,9.0,VNDR_93N529,0.0,10282.0,Prod_37280458,12.0,Italian Reds,Italian Red 1.5 small,0,0.0,298.94,300.0,0.0,506.34,0.41,0.41,2024-05-21,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2009-06-11,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,,
2.0,257.0,VNDR_QXDZSF,-999.0,10320.0,Prod_52801282,12.0,Spanish Sparkling,Spanish Sparkling 750 small,BB6.1,46.0,9.62,10.0233,461.07,16.32,0.41,0.39,2025-08-04,x,6/24/25,7/11/25,2016-07-12,,0,0,0.0,0.0,132.0,0.0,4.36,-999.0,2.18,0.0,8.38,11.58,5.79,12.52,24.0,6.65,200.0,0.88,22.0,12.0,24.0,Acc_b0634e,1.0,200.0,0.0,0.0,0,0,0,05/12/25,47358.0,168.0,FDL,Distributors Transport,,0.0,9.37,Keep
3.0,278.0,VNDR_R1DYAO,-999.0,10336.0,Prod_69277868,12.0,Australia,Australia 750 large,D7,258.0,4.58,4.8333,1246.99,9.04,0.49,0.47,2025-07-29,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2014-07-18,,0,0,0.0,0.0,0.0,0.0,56.58,-999.0,56.58,0.0,4.5,8.0,4.0,13.04,3.0,4.17,167.0,0.38,15.0,12.0,12.0,Acc_45050b,5.0,167.0,0.0,0.0,0,0,0,06/12/25,47618.0,240.0,Western,Distributor Transport,,0.0,8.47,Keep
6.0,272.0,VNDR_PTILSU,0.0,10453.0,Prod_85205136,12.0,French Reds,French Red 750 small,0,0.0,27.03,29.0,0.0,41.52,0.35,0.3,2025-05-28,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-03-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,6.0,0.0,1.0,6.0,6.0,Acc_38c19c,6.0,6.0,0.0,0.0,0,0,0,04/09/25,47176.0,6.0,JF Hillebrand,Groskopf,,0.0,3.43,Reduce
5.0,272.0,VNDR_PTILSU,-999.0,10490.0,Prod_83295509,12.0,French Whites,French White 750 small,A2.2,29.0,18.32,18.0,522.0,26.72,0.31,0.3299999999999999,2025-08-03,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2017-10-06,,0,0,0.0,0.0,0.0,0.0,241.67,-999.0,20.14,0.0,1.5,1.0,0.5,0.77,15.5,0.83,13.0,0.12,2.0,1.0,12.0,Acc_38c19c,1.0,13.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,4.29,Keep
6.0,124.0,VNDR_86SLSZ,0.0,10595.0,Prod_20508835,1.0,Spanish Reds,Spanish Reds 750 small,0,0.0,152.13,25.45,0.0,205.09,0.26,0.88,2001-01-01,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-06-30,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,,
6.0,279.0,VNDR_B2ED5D,0.0,10727.0,Prod_23524929,12.0,Spirits,Vodka 1.0L,D7,59.0,5.52,5.41,319.19,14.13,0.61,0.62,2025-08-03,-,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-05-09,,0,0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,05/15/25,47389.0,60.0,Buonocore Distributing,Groskopf,,0.0,,
6.0,379.0,VNDR_VGEG55,0.0,10767.0,Prod_48957595,12.0,German Wines,German 750 small,A5.3,0.0,35.03,34.33,0.0,49.23,0.29,0.3,2024-09-05,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2024-07-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,,
