start_date,end_date,vendor_code,vendor_name,invoice date,invoice#,customer,part_code,product_name,vintage,qty,sell_price,sold for,invoice_count,cases_sold,da_amount,da_total,date_active,expiration,da_hit,active
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-03,216145,Acc_b0634e,10320.0,Prod_52801282,,12.0,14.99,14.29,1.0,1.0,7.0,7.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-10,216290,Acc_b0634e,10320.0,Prod_52801282,,12.0,14.99,14.36,1.0,1.0,7.0,7.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-16,216430,Acc_6c78fe,10320.0,Prod_52801282,,12.0,14.99,15.22,1.0,1.0,7.0,7.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-23,216595,Acc_6c78fe,10320.0,Prod_52801282,,12.0,14.99,15.13,1.0,1.0,7.0,7.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-25,216633,Acc_95b83f,10320.0,Prod_52801282,,12.0,14.99,15.03,1.0,1.0,7.0,7.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-03,216097,Acc_d50ce1,13760.0,Prod_78911496,,3.0,52.816901408450704,44.84,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-02,216099,Acc_ce487e,13760.0,Prod_78911496,,1.0,52.816901408450704,57.46,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-05,216172,Acc_dcab33,13760.0,Prod_78911496,,1.0,52.816901408450704,57.5,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-10,216252,Acc_6233e4,13760.0,Prod_78911496,,3.0,52.816901408450704,44.44,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-10,216253,Acc_f10f42,13760.0,Prod_78911496,,3.0,52.816901408450704,47.19,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-12,216307,Acc_dcab33,13760.0,Prod_78911496,,1.0,52.816901408450704,57.75,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
