part_code,vendor_code,description,vintage,sell_price,da_qty,da_amount,da_type,date_active,expiration,account
97318.0,383,12.0,na,13.33,12,11.0,none,2024-09-01,2029-12-31,
31120.0,383,12.0,na,13.33,12,15.0,none,2024-09-01,2029-12-31,
60492.0,177,12.0,na,12.5,12,15.51,none,2024-09-01,2029-12-31,
46713.0,383,12.0,na,9999.0,12,9.0,none,2024-09-01,2029-12-31,
64387.0,394,12.0,na,9999.0,12,9.0,none,2024-09-01,2029-12-31,
53169.0,394,12.0,na,9999.0,12,9.0,none,2024-09-01,2029-12-31,
61399.0,94,12.0,Any,9.99,12,3.0,none,2025-05-30,2029-12-31,
33472.0,94,12.0,Any,9.99,12,3.0,none,2025-05-30,2029-12-31,
83616.0,94,12.0,Any,9.99,12,3.0,none,2025-05-30,2029-12-31,
72032.0,94,12.0,Any,11.99,12,6.0,none,2025-05-30,2029-12-31,
29581.0,94,12.0,Any,9.99,12,7.0,none,2025-05-30,2029-12-31,
92800.0,94,12.0,Any,9.99,12,5.0,none,2025-05-30,2029-12-31,
64122.0,254,12.0,all,7.0,12,3.0,none,2024-09-01,2029-12-31,
83539.0,254,12.0,all,7.0,12,3.0,none,2024-09-01,2029-12-31,
53427.0,254,12.0,all,6.0,12,7.5,none,2024-09-01,2029-12-31,
48506.0,254,12.0,all,6.0,12,7.5,none,2024-09-01,2029-12-31,
57195.0,254,12.0,all,6.0,12,7.5,none,2024-09-01,2029-12-31,
72981.0,124,0.0,none,12.99,12,6.0,none,2025-04-29,2029-12-31,
94659.0,124,0.0,none,12.99,12,6.0,none,2025-04-29,2029-12-31,
33275.0,124,0.0,none,13.99,12,6.0,none,2025-04-29,2029-12-31,
85703.0,124,0.0,none,19.99,12,6.0,none,2025-04-29,2029-12-31,
82274.0,124,0.0,none,19.99,12,6.0,none,2025-04-29,2029-12-31,
91264.0,124,0.0,none,14.99,12,6.0,none,2025-04-29,2029-12-31,
86090.0,124,0.0,none,22.99,12,6.0,none,2025-04-29,2029-12-31,
36734.0,124,0.0,none,22.99,12,6.0,none,2025-04-29,2029-12-31,
83479.0,124,0.0,none,26.99,6,6.0,none,2025-04-29,2029-12-31,
16371.0,124,0.0,none,43.99,6,6.0,none,2025-04-29,2029-12-31,
36400.0,124,0.0,none,15.99,12,6.0,none,2025-04-29,2029-12-31,
36400.0,124,0.0,none,16.99,12,10.0,none,2025-04-29,2029-12-31,
49104.0,124,0.0,none,25.99,6,6.0,none,2025-04-29,2029-12-31,
28062.0,124,0.0,none,29.99,6,6.0,none,2025-04-29,2029-12-31,
55039.0,124,0.0,none,15.99,12,6.0,none,2025-04-29,2029-12-31,
76406.0,124,0.0,none,15.99,12,6.0,none,2025-04-29,2029-12-31,
44831.0,124,0.0,none,15.99,12,6.0,none,2025-04-29,2029-12-31,
72981.0,124,12.0,na,13.67,12,6.0,none,2024-07-01,2025-04-30,
94659.0,124,12.0,na,13.94,12,6.0,none,2024-07-01,2025-04-30,
33275.0,124,12.0,na,13.67,12,6.0,none,2024-07-01,2025-04-30,
85703.0,124,12.0,na,21.03,12,6.0,none,2024-07-01,2025-04-30,
82274.0,124,12.0,na,21.03,12,6.0,none,2024-07-01,2025-04-30,
91264.0,124,12.0,na,15.47,12,6.0,none,2024-07-01,2025-04-30,
86090.0,124,12.0,na,23.53,12,6.0,none,2024-07-01,2025-04-30,
44529.0,124,12.0,na,27.0,12,6.0,none,2024-07-01,2025-04-30,
36734.0,124,12.0,na,21.72,12,6.0,none,2024-07-01,2025-04-30,
83479.0,124,6.0,na,25.27,6,6.0,none,2024-07-01,2025-04-30,
16371.0,124,6.0,na,31.04,6,6.0,none,2024-07-01,2025-04-30,
72680.0,124,12.0,na,17.14,12,6.0,none,2024-07-01,2025-04-30,
49104.0,124,6.0,na,25.35,6,6.0,none,2024-07-01,2025-04-30,
28062.0,124,6.0,na,21.04,6,6.0,none,2024-07-01,2025-04-30,
55039.0,124,12.0,na,17.14,12,6.0,none,2024-07-01,2025-04-30,
76406.0,124,12.0,na,17.14,12,6.0,none,2024-07-01,2025-04-30,
44831.0,124,12.0,na,17.14,12,6.0,none,2024-07-01,2025-04-30,
32398.0,124,6.0,na,20.01,6,6.0,none,2024-07-01,2025-04-30,
86230.0,124,6.0,na,20.01,6,6.0,none,2024-07-01,2025-04-30,
22191.0,124,6.0,na,20.01,6,6.0,none,2024-07-01,2025-04-30,
25173.0,9,12.0,ANY,10.49,12,3.0,,2025-05-12,2029-12-31,
28047.0,9,12.0,ANY,17.99,12,5.0,,2025-05-12,2029-12-31,
31677.0,9,12.0,ANY,9.99,12,5.0,,2025-05-12,2029-12-31,
42991.0,9,6.0,ANY,22.99,6,10.0,,2025-05-12,2029-12-31,
65934.0,9,6.0,ANY,23.99,6,12.0,,2025-05-12,2029-12-31,
43687.0,9,12.0,ANY,10.49,12,6.0,,2025-05-12,2029-12-31,
37696.0,9,12.0,ANY,12.99,12,6.0,,2025-05-12,2029-12-31,
61226.0,9,12.0,ANY,10.49,12,7.5,,2025-05-12,2029-12-31,
77364.0,9,12.0,ANY,14.99,12,12.0,,2025-05-12,2029-12-31,
77847.0,9,6.0,ANY,28.99,6,8.0,,2025-05-12,2029-12-31,
40015.0,9,12.0,ANY,12.49,12,10.0,,2025-05-12,2029-12-31,
82541.0,9,12.0,ANY,8.49,12,6.0,,2025-05-12,2029-12-31,
