 salesperson_code	order_number	order_date	quantity	number_shipped	discount	price	line_extension	salesperson_name	part_number	product_name
2	217639	08/06/25	48	48	0	12.8	614.4	House Account	45595	Prod_80799073
2	217639	08/06/25	600	600	0	6.985	4191.0	House Account	40908	Prod_43372512
2	217639	08/06/25	720	720	0	4.5075	3245.4	House Account	59812	Prod_57941339
2	217639	08/06/25	240	240	0	44.295	10630.8	House Account	97505	Prod_61885484
2	217638	08/06/25	306	306	0	17.378333	5317.77	House Account	62815	Prod_34091828
2	217638	08/06/25	288	288	0	15.6	4492.8	House Account	20283	Prod_46398509
2	217638	08/06/25	0	0	0	0.0	0.0	House Account	15311	Prod_85117826
2	217638	08/06/25	0	0	0	0.0	0.0	House Account	15283	Prod_19864562
2	217638	08/06/25	360	360	0	11.373333	4094.4	House Account	41845	Prod_60851197
2	217638	08/06/25	40	40	0	137.64	5505.6	House Account	41027	Prod_78031542
2	217638	08/06/25	360	360	0	8.07	2905.2	House Account	39227	Prod_38976471
41	217698	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217698	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217699	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217699	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217702	08/05/25	4	4	0	14.81	59.24	Salesperson F	90863	Prod_80315643
41	217702	08/05/25	2	2	0	58.99	117.98	Salesperson F	78344	Prod_44004307
41	217692	08/05/25	12	12	0	17.59	211.08	Salesperson F	95711	Prod_84422108
41	217692	08/05/25	1	1	0	42.59	42.59	Salesperson F	29073	Prod_41033992
41	217692	08/05/25	1	1	0	31.02	31.02	Salesperson F	65913	Prod_27348078
41	217653	08/05/25	3	3	0	52.82	158.46	Salesperson F	13760	Prod_78911496
41	217696	08/05/25	10	10	0	10.77	107.7	Salesperson F	29581	Prod_90048411
41	217693	08/05/25	12	12	0	11.99	143.88	Salesperson F	13267	Prod_42554423
41	217693	08/05/25	12	12	0	11.99	143.88	Salesperson F	88518	Prod_55048581
41	217693	08/05/25	4	4	0	16.99	67.96	Salesperson F	54910	Prod_35114042
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217654	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217698	08/05/25	6	6	0	23.99	143.94	Salesperson F	98733	Prod_20478512
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15311	Prod_85117826
41	217653	08/05/25	0	0	0	0.0	0.0	Salesperson F	15283	Prod_19864562
41	217698	08/05/25	6	6	0	17.01	102.06	Salesperson F	52344	Prod_41428319
41	217702	08/05/25	3	3	0	14.69	44.07	Salesperson F	18705	Prod_21396901
