part_code,product_name,vendor_code,vendor_name,description,location,pims_qty,up_qty,s_qty,po_qty,real_qty,count
57761.0,Prod_69565812,94.0,VNDR_ZNP5OO,,A1.1,0.0,0.0,0.0,24.0,0.0,0.0
96700.0,Prod_92216975,94.0,VNDR_ZNP5OO,,A1.1,0.0,0.0,0.0,120.0,0.0,0.0
81386.0,Prod_71197528,52.0,VNDR_X2MFB8,,A1.1,1.0,0.0,0.0,120.0,1.0,0.0
66583.0,Prod_72801744,272.0,VNDR_PTILSU,,A1.1,6.0,0.0,0.0,0.0,6.0,0.0
27948.0,Prod_33487202,94.0,VNDR_ZNP5OO,,A1.1,7.0,0.0,0.0,96.0,7.0,0.0
81185.0,Prod_67575174,306.0,VNDR_41N4OZ,12,A1.1,12.0,0.0,0.0,0.0,12.0,0.0
76344.0,Prod_22066436,407.0,VNDR_1A8OUC,,A1.1,22.0,0.0,0.0,0.0,22.0,0.0
38718.0,Prod_34496059,379.0,VNDR_VGEG55,,A1.1,29.0,0.0,0.0,0.0,29.0,0.0
15077.0,Prod_45646311,341.0,VNDR_3X4SNI,,A1.1,35.0,0.0,0.0,0.0,35.0,0.0
66882.0,Prod_59793687,199.0,VNDR_CWCPAA,,A1.1,42.0,0.0,0.0,336.0,42.0,0.0
56660.0,Prod_19605961,379.0,VNDR_VGEG55,,A1.1,59.0,0.0,0.0,0.0,59.0,0.0
53390.0,Prod_76851478,319.0,VNDR_1ZGQIR,,A1.1,62.0,0.0,0.0,0.0,62.0,0.0
47412.0,Prod_69822820,52.0,VNDR_X2MFB8,,A1.1,228.0,0.0,0.0,0.0,228.0,0.0
75497.0,Prod_38247030,167.0,VNDR_NKO51N,6-pack,A1.3,0.0,0.0,0.0,0.0,0.0,0.0
14895.0,Prod_35889668,94.0,VNDR_ZNP5OO,,A2.1,13.0,0.0,0.0,60.0,13.0,0.0
91494.0,Prod_20976073,272.0,VNDR_PTILSU,,A2.1,15.0,0.0,0.0,0.0,15.0,0.0
98741.0,Prod_30557328,293.0,VNDR_HZXJ63,,A2.1,55.0,0.0,0.0,0.0,55.0,0.0
33472.0,Prod_31032762,94.0,VNDR_ZNP5OO,,A2.1,97.0,0.0,0.0,0.0,97.0,0.0
61399.0,Prod_43674400,94.0,VNDR_ZNP5OO,,A2.1,138.0,0.0,0.0,0.0,138.0,0.0
83616.0,Prod_38550157,94.0,VNDR_ZNP5OO,,A2.1,187.0,0.0,0.0,0.0,187.0,0.0
68829.0,Prod_83313742,94.0,VNDR_ZNP5OO,,A2.1,210.0,0.0,0.0,0.0,210.0,0.0
43885.0,Prod_70136814,272.0,VNDR_PTILSU,,A2.2,0.0,0.0,0.0,0.0,0.0,0.0
52879.0,Prod_73503684,111.0,VNDR_6YWBI4,,A2.2,0.0,0.0,0.0,0.0,0.0,0.0
82233.0,Prod_66190168,272.0,VNDR_PTILSU,,A2.2,0.0,0.0,0.0,0.0,0.0,0.0
48134.0,Prod_23445054,280.0,VNDR_3L4Q75,6,A2.2,6.0,0.0,0.0,0.0,6.0,0.0
98209.0,Prod_49841063,280.0,VNDR_3L4Q75,,A2.2,10.0,0.0,0.0,0.0,10.0,0.0
92936.0,Prod_63278894,293.0,VNDR_HZXJ63,,A2.2,18.0,0.0,0.0,0.0,18.0,0.0
83705.0,Prod_79164906,404.0,VNDR_93CKJZ,12,A2.2,22.0,0.0,0.0,0.0,22.0,0.0
37323.0,Prod_35443743,280.0,VNDR_3L4Q75,,A2.2,25.0,0.0,0.0,0.0,25.0,0.0
10490.0,Prod_83295509,272.0,VNDR_PTILSU,,A2.2,29.0,0.0,0.0,0.0,29.0,0.0
92867.0,Prod_16271092,280.0,VNDR_3L4Q75,,A2.2,104.0,0.0,0.0,0.0,104.0,0.0
