PRODUCT#	PRODUCT NAME	P.O. REFERENCE	DATE ORDERED	ORIGINAL ORDER	OUTSTANDING	DAYS ON ORDER	CATEGORY
72552.0	Prod_29644303	47769	7/9/25	48	48	28	a
31677.0	Prod_76526163	47587	6/9/25	240	240	58	a
31677.0	Prod_76526163	47769	7/9/25	240	240	28	a
77364.0	Prod_62727837	47877	7/31/25	24	24	6	b
57055.0	Prod_12445891	47587	6/9/25	96	96	58	a
57055.0	Prod_12445891	47877	7/31/25	60	60	6	a
67458.0	Prod_47202695	47684	6/23/25	48	48	44	c
92074.0	Prod_25971753	47889	8/6/25	480	480	0	t
76024.0	Prod_91027815	47587	6/9/25	168	168	58	a
49882.0	Prod_51843826	47587	6/9/25	168	168	58	a
49882.0	Prod_51843826	47769	7/9/25	96	96	28	a
92948.0	Prod_34027485	47645	7/2/25	240	240	35	i
46378.0	Prod_91990152	14729	7/26/10	36	36	5490	n
78008.0	Prod_36759820	14729	7/26/10	24	24	5490	o
37696.0	Prod_12566985	47769	7/9/25	336	336	28	b
74291.0	Prod_91098454	6208-001	6/2/08	1	1	6274	o
77969.0	Prod_70456198	47587	6/9/25	480	480	58	b
98397.0	Prod_69846907	14621	7/9/10	60	60	5507	oq
42556.0	Prod_69424760	101708-011	10/17/08	24	24	6137	n
58787.0	Prod_57034644	51908-004	5/19/08	24	24	6288	y
20789.0	Prod_86044595	47855	7/29/25	240	240	8	n
40337.0	Prod_14353650	47805	7/15/25	96	96	22	x
61226.0	Prod_60294145	47587	6/9/25	240	240	58	a
61226.0	Prod_60294145	47877	7/31/25	336	336	6	a
77641.0	Prod_15551374	9908-001	9/9/08	120	120	6175	o
81932.0	Prod_63717598	47877	7/31/25	24	24	6	br
63330.0	Prod_31679792	47684	6/23/25	168	168	44	d
23456.0	Prod_65630199	47684	6/23/25	96	96	44	d
15901.0	Prod_39348832	47587	6/9/25	480	480	58	b
15901.0	Prod_39348832	47587	6/9/25	336	336	58	b
15901.0	Prod_39348832	47877	7/31/25	168	168	6	b
55084.0	Prod_42129087	47587	6/9/25	6	6	58	a
16638.0	Prod_55315527	101708-011	10/17/08	48	48	6137	n
29956.0	Prod_32347232	47769	7/9/25	36	36	28	a
53221.0	Prod_34439178	4308-002	4/3/08	36	36	6334	p
63276.0	Prod_94571388	47774	7/8/25	48	48	29	r
33247.0	Prod_66169933	47587	6/9/25	12	12	58	b
28047.0	Prod_70768134	47587	6/9/25	240	240	58	a
65016.0	Prod_51888511	47587	6/9/25	72	72	58	b
54261.0	Prod_58838304	47587	6/9/25	72	72	58	a
50397.0	Prod_71034347	47769	7/9/25	168	168	28	b
50397.0	Prod_71034347	47769	7/9/25	72	72	28	b
65591.0	Prod_53248823	47769	7/9/25	96	96	28	a
10769.0	Prod_22836406	18180	3/3/12	72	72	4904	o
29508.0	Prod_83423689	47587	6/9/25	240	240	58	a
97235.0	Prod_13493159	47587	6/9/25	60	60	58	a
75697.0	Prod_71172879	47877	7/31/25	96	96	6	b
95305.0	Prod_89124472	47587	6/9/25	720	720	58	br
95305.0	Prod_89124472	47877	7/31/25	720	720	6	br
70576.0	Prod_21090872	47769	7/9/25	60	60	28	a
18567.0	Prod_33735466	17277	10/1/11	36	36	5058	y
15240.0	Prod_48952177	4308-002	4/3/08	168	168	6334	p
14895.0	Prod_35889668	47816	7/16/25	60	60	21	dr
99393.0	Prod_36184592	101708-011	10/17/08	12	12	6137	o
15084.0	Prod_63910570	47809	7/15/25	24	24	22	za
33275.0	Prod_83811548	47771	7/15/25	24	24	22	g
83479.0	Prod_30421646	47886	8/6/25	6	6	0	g
16371.0	Prod_22299085	47771	7/15/25	12	12	22	y
63420.0	Prod_53172408	47867	7/30/25	11	11	7	za
39757.0	Prod_67454751	16669	7/4/11	5	5	5147	za
60192.0	Prod_18240029	16669	7/4/11	5	5	5147	zb
90395.0	Prod_91112336	16669	7/4/11	10	10	5147	zb
50738.0	Prod_55512799	16669	7/4/11	7	7	5147	zb
89148.0	Prod_90545717	16669	7/4/11	5	5	5147	zb
63363.0	Prod_26502377	16669	7/4/11	5	5	5147	zb
10661.0	Prod_21385874	16669	7/4/11	14	14	5147	zb
83609.0	Prod_59010497	16669	7/4/11	5	5	5147	zb
19077.0	Prod_40455394	16669	7/4/11	7	7	5147	zb
95680.0	Prod_31289218	47587	6/9/25	48	48	58	a
95680.0	Prod_31289218	47877	7/31/25	48	48	6	a
13267.0	Prod_42554423	47857	8/5/25	168	168	1	c
72680.0	Prod_49714658	47771	7/15/25	96	96	22	g
33624.0	Prod_77349701	47886	8/6/25	60	60	0	h
94328.0	Prod_45572596	47889	8/6/25	240	240	0	w
52823.0	Prod_72610495	47867	7/30/25	5	5	7	za
40015.0	Prod_59929593	47587	6/9/25	168	168	58	a
72046.0	Prod_34200037	47587	6/9/25	168	168	58	a
72046.0	Prod_34200037	47769	7/9/25	96	96	28	a
92798.0	Prod_42138237	47587	6/9/25	672	672	58	b
92798.0	Prod_42138237	47877	7/31/25	672	672	6	b
19268.0	Prod_45690693	47769	7/9/25	36	36	28	b
82541.0	Prod_23113112	47587	6/9/25	480	480	58	b
82541.0	Prod_23113112	47877	7/31/25	672	672	6	b
21556.0	Prod_58389213	47062	3/4/25	90	90	155	zb
70428.0	Prod_27533397	47867	7/30/25	5	5	7	za
55236.0	Prod_88886404	47466	7/2/25	72	72	35	p
88781.0	Prod_52102115	47857	8/5/25	336	336	1	d
89141.0	Prod_21361432	101708-011	10/17/08	36	36	6137	n
28711.0	Prod_25430014	47466	7/2/25	36	36	35	p
48067.0	Prod_27443823	47879	8/1/25	96	96	5	n
26163.0	Prod_81734497	47889	8/6/25	168	168	0	w
13631.0	Prod_31638337	12096	4/1/09	336	336	5971	x
32746.0	Prod_62638155	13399	12/10/09	1356	1356	5718	b
59812.0	Prod_57941339	44665	10/11/23	1632	1632	665	b
13760.0	Prod_78911496	47867	7/30/25	72	72	7	za
98789.0	Prod_48726719	12416	6/5/09	36	36	5906	t
66492.0	Prod_55621244	12416	6/5/09	24	24	5906	t
54857.0	Prod_61418773	47466	7/2/25	72	72	35	p
30354.0	Prod_34050702	12203	4/23/09	84	84	5949	a
52951.0	Prod_52818959	12203	4/23/09	84	84	5949	a
39139.0	Prod_18398045	14365	6/1/10	1	1	5545	n
95445.0	Prod_64484848	14365	6/1/10	24	24	5545	n
90257.0	Prod_47845816	14365	6/1/10	12	12	5545	o
16530.0	Prod_84178987	47769	7/9/25	48	48	28	a
75794.0	Prod_12532477	47769	7/9/25	36	36	28	a
15906.0	Prod_47048350	47587	6/9/25	96	96	58	a
35150.0	Prod_11173829	36043	11/30/19	42	42	2076	d
34217.0	Prod_10550247	47809	7/15/25	18	18	22	za
65267.0	Prod_47707345	47782	7/8/25	12	12	29	p
33952.0	Prod_43281492	26361	11/10/15	960	960	3557	y
25282.0	Prod_69426088	13687	2/11/10	24	24	5655	p
60139.0	Prod_37562181	47782	7/8/25	96	96	29	p
16031.0	Prod_45603096	47587	6/9/25	60	60	58	a
41778.0	Prod_46125349	16669	7/4/11	6	6	5147	za
37734.0	Prod_80083683	16669	7/4/11	6	6	5147	za
71516.0	Prod_47621466	16504	6/3/11	120	120	5178	s
15498.0	Prod_14731108	47777	7/8/25	96	96	29	f
66882.0	Prod_59793687	47847	7/29/25	336	336	8	f
85250.0	Prod_14813052	47847	7/29/25	96	96	8	g
74353.0	Prod_38851479	20155a	2/25/13	1344	1344	4545	t
86021.0	Prod_87977840	47790	7/9/25	120	120	28	o
40386.0	Prod_54350006	16504	6/3/11	12	12	5178	s
94050.0	Prod_45848216	47841	7/28/25	36	36	9	o
33478.0	Prod_74341217	47587	6/9/25	96	96	58	br
33478.0	Prod_74341217	47769	7/9/25	96	96	28	br
33478.0	Prod_74341217	47877	7/31/25	120	120	6	br
81854.0	Prod_18967280	47587	6/9/25	168	168	58	br
81854.0	Prod_18967280	47769	7/9/25	48	48	28	br
81854.0	Prod_18967280	47877	7/31/25	48	48	6	br
33554.0	Prod_49849593	47062	3/4/25	30	30	155	za
33091.0	Prod_70316879	47807	7/15/25	336	336	22	o
31625.0	Prod_18442537	18107	3/21/12	12	12	4886	b
99080.0	Prod_63765030	18796	6/18/12	672	672	4797	p
65745.0	Prod_49071694	47587	6/9/25	168	168	58	a
65745.0	Prod_49071694	47769	7/9/25	72	72	28	a
34532.0	Prod_13405080	47803	7/16/25	120	120	21	oq
67149.0	Prod_90422423	47879	8/1/25	60	60	5	n
30466.0	Prod_74731559	47877	7/31/25	36	36	6	a
36400.0	Prod_23996703	47886	8/6/25	240	240	0	g
62815.0	Prod_34091828	44665	10/11/23	918	918	665	y
92736.0	Prod_12282207	47782	7/8/25	72	72	29	p
47548.0	Prod_33455304	47587	6/9/25	336	336	58	b
40908.0	Prod_43372512	44665	10/11/23	600	600	665	br
12581.0	Prod_29120516	47883	8/4/25	7200	7200	2	x
14138.0	Prod_52324661	47867	7/30/25	24	24	7	za
79906.0	Prod_83676002	47587	6/9/25	72	72	58	a
		32246	5/8/18	336	336	2647	
79166.0	Prod_85670691	47062	3/4/25	50	50	155	zb
57861.0	Prod_18424966	47062	3/4/25	25	25	155	zb
61756.0	Prod_28285984	21624	9/12/13	6	6	4346	y
12382.0	Prod_81648793	21624	9/12/13	6	6	4346	y
59683.0	Prod_62683378	21624	9/12/13	6	6	4346	y
97999.0	Prod_22591059	21624	9/12/13	6	6	4346	y
55276.0	Prod_67979044	21624	9/12/13	6	6	4346	y
43402.0	Prod_70131785	21624	9/12/13	6	6	4346	y
76458.0	Prod_89095657	47782	7/8/25	480	480	29	p
10917.0	Prod_37206133	47879	8/1/25	60	60	5	o
69821.0	Prod_14409764	47841	7/28/25	336	336	9	o
24995.0	Prod_38111767	47605	7/3/25	36	36	34	j
37230.0	Prod_30131432	47605	7/3/25	84	84	34	d
79681.0	Prod_17759376	47605	7/3/25	36	36	34	d
42101.0	Prod_16312359	47605	7/3/25	72	72	34	d
92569.0	Prod_34817827	47888	8/6/25	60	60	0	xtc
67980.0	Prod_88969176	47801	7/15/25	24	24	22	xtc
26351.0	Prod_38803037	47888	8/6/25	80	80	0	xtc
95238.0	Prod_64494021	23361	7/7/14	804	804	4048	c
41379.0	Prod_41239663	47605	7/3/25	60	60	34	i
81386.0	Prod_71197528	47729	7/1/25	120	120	36	e
93424.0	Prod_65906922	47865	7/30/25	1360	1360	7	c
38810.0	Prod_19854910	47841	7/28/25	672	672	9	n
