part_code	product_name	description	category_name	sub_category_name	location	total_onhand	cost	weighted_cost	price	vendor_code	vendor_name	date_last_sold	discontinued	date_created
25795	Prod_80631108		Italian Reds	Italian Red 750 small	B7.2	0.0	9.35	9.921	19.84	45.0	VNDR_QQL8QP	08/13/09	True	01/25/08
10860	Prod_57032228		Spanish Reds	Spanish Reds 750 small	A9.2	0.0	6.43	6.3331	12.32	17.0	VNDR_3U1O01	06/20/11	True	01/25/08
86820	Prod_38537441	15	German Wines	German 750 small		0.0	7.86	7.888	13.52	343.0	VNDR_V2MZAM	10/03/24	False	01/25/08
64886	Prod_17754821		Spanish Reds	Spanish Reds 750 small	A9.1	0.0	5.14	4.9245	10.57	95.0	VNDR_ITLSIF	03/02/10	True	01/25/08
16265	Prod_79040668		Beer Imported	Beer Imp. 12 x 16.9oz.	F4	0.0	51.83	54.13	75.75	133.0	VNDR_MAZ7BT	02/26/08	True	01/25/08
92386	Prod_73683380		Beer Imported	Beer Imp. 12 x 16.9oz.	E5	0.0	52.2	58.375	76.6	133.0	VNDR_MAZ7BT	10/29/08	True	01/25/08
47194	Prod_47421445		Spanish Reds	Spanish Reds 750 small		0.0	0.0	0.0	20.29	17.0	VNDR_3U1O01	06/11/09	True	01/25/08
97498	Prod_31068728	12pk	French Sparkling	French Sparkling 750 small	Wall	0.0	41.33	41.6666	56.75	111.0	VNDR_6YWBI4	10/10/19	True	01/25/08
54131	Prod_50082219	1 pk	French Sparkling	French Sparkling 750 small	Wall	0.0	139.1	140.0	207.64	111.0	VNDR_6YWBI4	10/10/19	True	01/25/08
70263	Prod_13701825		Spanish Reds	Spanish Reds 750 small	A9.1	0.0	6.66	6.6675	13.56	17.0	VNDR_3U1O01	10/10/11	True	01/25/08
26023	Prod_17435613		French Reds	French Red 750 small	A3.2	0.0	8.74	9.283	20.24	132.0	VNDR_FHSZ8T	06/19/12	True	01/25/08
51090	Prod_25510260		Spanish Reds	Spanish Reds 750 large	A9	0.0	27.56	27.167	51.4	47.0	VNDR_NN4ULV	10/04/12	True	01/25/08
77221	Prod_20938647		Spanish Reds	Spanish Reds 750 small		0.0	4.51	7.133	10.85	47.0	VNDR_NN4ULV	08/02/07	True	01/25/08
74820	Prod_73599287		California Red	California Red 750 small	XX	-625.0	0.0	0.0	0.0		VNDR_W2D030	05/22/25	True	01/25/08
10769	Prod_22836406		California Whites	California Whites 750 small	XX	-76.0	0.0	0.0	0.0		VNDR_W2D030	11/19/24	True	01/25/08
69735	Prod_77529372		Australia	Australia 750 large	XX	0.0	5.02	5.38	9.62	84.0	VNDR_5D7OME	09/13/06	True	01/25/08
72955	Prod_94402906	15	German Wines	German 750 small		0.0	7.44	7.888	13.56	343.0	VNDR_V2MZAM	10/03/24	False	01/25/08
74925	Prod_35185385		Sparkling	Sparkling 750 small		0.0	15.58	15.5	24.07	9.0	VNDR_93N529	05/17/12	True	01/25/08
77969	Prod_70456198		Italian Whites	Italain Sparkling 375 small	B5.1	281.0	4.1	4.1868	9.84	9.0	VNDR_93N529	08/01/25	False	01/25/08
15311	Prod_85117826										VNDR_W2D030			
93104	Prod_58391130		Italian Sparkling	Italian Sparkling 750 small	B6.2	0.0	8.15	8.4	16.24	9.0	VNDR_93N529	05/07/25	True	01/25/08
