po_number	po_date	part_code	product_name	qty_ordered	qty_received	book_cost	price_change	original_cost	extended_cost	dealer	shipper
47132.0	03/13/25	86021	Prod_87977840	48	0	5.6666	0.0	5.6666	271.9968	SC Warehouse	Cobalt
46563.0	01/03/25	87990	Prod_47273553	228	228	4.37	0.0	0.0	996.36	Grape Ex	Cobalt
		99787	Prod_15574274	12	12	14.45	0.0	14.45	173.4		
		96184	Prod_34699159	12	12	14.45	0.0	14.45	173.4		
		34530	Prod_73179622	12	12	12.693	12.693	0.0	152.316		
		88052	Prod_17169493	12	12	15.97	0.0	0.0	191.64		
		57058	Prod_89016916	12	12	19.17	0.0	0.0	230.04		
		84094	Prod_17688326	96	96	8.83	0.0	8.83	847.68		
		84255	Prod_30691064	24	24	23.33	0.0	23.33	559.92		
		14886	Prod_85574583	36	36	15.92	0.0	15.92	573.12		
		47387	Prod_23011977	12	12	37.83	0.0	37.83	453.96		
		31575	Prod_72740643	108	108	11.58	0.0	11.58	1250.64		
		49643	Prod_10512053	12	12	14.41	0.0	14.41	172.92		
		20100	Prod_12285490	36	36	19.91	0.0	19.91	716.76		
		70356	Prod_11414692	6	6	27.5	0.0	27.5	165.0		
		17856	Prod_77858724	60	60	13.17	0.0	0.0	790.2		
		48169	Prod_25043385	12	12	31.25	0.0	0.0	375.0		
		38804	Prod_86905525	12	12	25.8	0.0	0.0	309.6		
		45790	Prod_36850101	12	12	13.17	0.0	0.0	158.04		
		40988	Prod_30059215	12	12	31.17	0.0	0.0	374.04		
		86448	Prod_88708217	36	36	10.0	0.0	10.0	360.0		
		48506	Prod_85464885	24	24	14.41	0.0	14.41	345.84		
		97904	Prod_34376855	24	24	17.83	0.0	0.0	427.92		
		77306	Prod_51620330	12	12	17.91	0.0	17.91	214.92		
46580.0	01/23/25	31677	Prod_76526163	480	480	4.95	0.0	5.0	2376.0	DI	Cobalt
		61226	Prod_60294145	336	336	6.085	0.0	6.21	2044.56		
		50397	Prod_71034347	72	72	6.765	0.0	6.83	487.08		
		13880	Prod_86012354	48	48	5.88	0.0	6.0	282.24		
		72552	Prod_29644303	36	36	6.125	0.0	7.87	220.5		
		75794	Prod_12532477	48	48	12.086	0.0	13.455	580.128		
		50600	Prod_42729114	36	36	11.27	0.0	12.37	405.72		
		69979	Prod_86828827	12	12	12.886	0.0	15.15	154.632		
		84691	Prod_42513594	36	36	9.4177	0.0	11.010416	339.0372		
		65591	Prod_53248823	36	36	7.425	0.0	7.425	267.3		
46601.0	01/03/25	88002	Prod_53544223	144	144	12.0	0.0	12.0	1728.0	Biagi	Cobalt
		22720	Prod_44802722	84	84	9.5	0.0	9.5	798.0		
		96673	Prod_73008188	48	48	16.16	0.0	16.16	775.68		
46811.0	01/15/25	38308	Prod_80470638	336	336	5.6666	0.0	5.6666	1903.9776	SC Warehouse / Yandell	Cobalt
		26859	Prod_44728702	36	36	6.667	0.0	6.667	240.012		
		86021	Prod_87977840	24	24	5.6666	0.0	5.6666	135.9984		
46701.0	01/22/25	44087	Prod_89590884	60	60	16.833	0.0	16.833	1009.98	Laird's	Distributors Transport
		54910	Prod_35114042	120	120	9.916667	0.0	9.916667	1190.0		
		62347	Prod_91117420	48	48	15.17	0.0	15.17	728.16		
		97134	Prod_82642036	48	48	13.83	0.0	13.83	663.84		
		78116	Prod_47011586	24	24	21.166	0.0	21.166	507.984		
		25408	Prod_84145829	30	30	14.5	0.0	14.5	435.0		
		96795	Prod_41768073	72	72	10.3333	0.0	10.3333	743.9976		
		92956	Prod_51031713	12	12	15.17	0.0	15.17	182.04		
		61012	Prod_69300330	6	6	46.33	0.0	46.33	277.98		
46717.0	01/23/25	13760	Prod_78911496	50	50	28.93	0.0	28.93	1446.5	FDL	Distributors Transport
		22991	Prod_48801560	35	35	29.2	0.0	28.0	1022.0		
		46593	Prod_40866401	30	30	29.2	0.0	28.0	876.0		
		34217	Prod_10550247	10	10	26.0	0.0	26.0	260.0		
		14138	Prod_52324661	15	15	29.2	0.0	28.0	438.0		
		26052	Prod_46475248	20	20	42.2	0.0	41.0	844.0		
		70428	Prod_27533397	6	6	42.2	0.0	41.0	253.2		
