ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-02,176214.53549190002,121587.85726165709,208231.61553001296,176214.53549190002,176214.53549190002,-12853.954332704192,-12853.954332704192,-12853.954332704192,-12853.954332704192,-12853.954332704192,-12853.954332704192,0.0,0.0,0.0,163360.58115919583
2022-01-09,176143.20975613175,102867.73018088723,186723.81759436202,176143.20975613175,176143.20975613175,-32100.912356270845,-32100.912356270845,-32100.912356270845,-32100.912356270845,-32100.912356270845,-32100.912356270845,0.0,0.0,0.0,144042.2973998609
2022-01-16,176071.88402036345,92112.62945309606,182133.95858023036,176071.88402036345,176071.88402036345,-39559.804431090946,-39559.804431090946,-39559.804431090946,-39559.804431090946,-39559.804431090946,-39559.804431090946,0.0,0.0,0.0,136512.0795892725
2022-01-23,176000.55828459517,93379.88153391382,181432.67417946717,176000.55828459517,176000.55828459517,-40827.91754273472,-40827.91754273472,-40827.91754273472,-40827.91754273472,-40827.91754273472,-40827.91754273472,0.0,0.0,0.0,135172.64074186044
2022-01-30,175929.23254882687,93206.06403502003,176559.68119213646,175929.23254882687,175929.23254882687,-41058.46167056986,-41058.46167056986,-41058.46167056986,-41058.46167056986,-41058.46167056986,-41058.46167056986,0.0,0.0,0.0,134870.770878257
2022-02-06,175857.9068130586,91755.24215592351,179343.95581125564,175857.9068130586,175857.9068130586,-38944.011806992945,-38944.011806992945,-38944.011806992945,-38944.011806992945,-38944.011806992945,-38944.011806992945,0.0,0.0,0.0,136913.89500606566
2022-02-13,175786.5810772903,101659.39391665383,188254.90666976353,175786.5810772903,175786.5810772903,-30849.68557533171,-30849.68557533171,-30849.68557533171,-30849.68557533171,-30849.68557533171,-30849.68557533171,0.0,0.0,0.0,144936.89550195858
2022-02-20,175715.255346427,113549.25992909491,200819.9761321977,175715.255346427,175715.255346427,-18530.489060544023,-18530.489060544023,-18530.489060544023,-18530.489060544023,-18530.489060544023,-18530.489060544023,0.0,0.0,0.0,157184.76628588297
2022-02-27,175643.92961556377,121791.87350000379,207323.57860398942,175643.92961556377,175643.92961556377,-9639.443574548337,-9639.443574548337,-9639.443574548337,-9639.443574548337,-9639.443574548337,-9639.443574548337,0.0,0.0,0.0,166004.48604101542
2022-03-06,175572.60388470048,121190.76468630983,210219.59385329735,175572.60388470048,175572.60388470048,-9845.160234805971,-9845.160234805971,-9845.160234805971,-9845.160234805971,-9845.160234805971,-9845.160234805971,0.0,0.0,0.0,165727.4436498945
2022-03-13,175501.27815383722,116947.4562315634,205633.84848360863,175501.27815383722,175501.27815383722,-16263.252230165614,-16263.252230165614,-16263.252230165614,-16263.252230165614,-16263.252230165614,-16263.252230165614,0.0,0.0,0.0,159238.0259236716
2022-03-20,175429.95242297396,112360.80729580452,199251.45897629985,175429.95242297396,175429.95242297396,-20438.29762462183,-20438.29762462183,-20438.29762462183,-20438.29762462183,-20438.29762462183,-20438.29762462183,0.0,0.0,0.0,154991.65479835213
2022-03-27,175358.6266921107,113838.15624131192,203295.03968725176,175358.6266921107,175358.6266921107,-17458.30532697751,-17458.30532697751,-17458.30532697751,-17458.30532697751,-17458.30532697751,-17458.30532697751,0.0,0.0,0.0,157900.3213651332
2022-04-03,175287.30085935013,121098.69755607244,210135.2697229118,175287.30085935013,175287.30085935013,-10556.665270440697,-10556.665270440697,-10556.665270440697,-10556.665270440697,-10556.665270440697,-10556.665270440697,0.0,0.0,0.0,164730.63558890944
2022-04-10,175215.97502658956,122914.92548596805,212043.84715594715,175215.97502658956,175215.97502658956,-6326.1413861947485,-6326.1413861947485,-6326.1413861947485,-6326.1413861947485,-6326.1413861947485,-6326.1413861947485,0.0,0.0,0.0,168889.83364039482
